;; effweek	dow	epistleReading	epistlePericope	gospelReading	gospelPericope
34	4	I Jn_1:8-2:6	69	Mk_13:31-14:2	62
34	5	I Jn_2:7-17	70	Mk_14:3-9	63
34	6	II Tim_3:1-9	295	Lk_20:45-21:4	103
34	0	I Cor_6:12-20	135	Lk_15:11-32	79
35	1	I Jn_2:18-3:10a	71	Mk_11:1-11	49
35	2	I Jn_3:10b-20	72	Mk_14:10-42	64
35	3	I Jn_3:21-4:6	73	Mk_14:43-15:1	65
35	4	I Jn_4:20-5:21	74	Mk_15:1-15	66
35	5	II Jn_1:1-13	75	Mk_15:22, 25, 33-41	68
35	6	I Cor_10:23-28	146	Lk_21:8-9, 25-27, 33-36	105
35	0	I Cor_8:8-9:2	140	Mt_25:31-46	106
36	1	III Jn_1:1-15	76	Lk_19:29-40, 22:7-39	96
36	2	Jude_1:1-10	77	Lk_22:39-42, 22:45b-23:1	109
36	3				
36	4	Jude_1:11-25	78	Lk_23:1b-34a, 44-56	110
36	5				
36	6	Rom_14:19-26	115	Mt_6:1-13	16
36	0	Rom_13:11b-14:4	112	Mt_6:14-21	17
37	6	Heb_1:1-12	303	Mk_2:23-3:5	10
37	0	Heb_11:24-26, 11:32-12:2a	329 (mid.)	Jn_1:43-51	5
38	6	Heb_3:12-16	309	Mk_1:35-44	6
38	0	Heb_1:10-2:3	304	Mk_2:1-12	7
39	6	Heb_10:32-38a	325	Mk_2:14-17	8
39	0	Heb_4:14-5:6	311	Mk_8:34b-9:1	37
40	6	Heb_6:9-12	313	Mk_7:31-37	31
40	0	Heb_6:13-20	314	Mk_9:17-31	40
41	6	Heb_9:24-28	322	Mk_8:27-31	35
41	0	Heb_9:11-14	321 (mid.)	Mk_10:32b-45	47
42	6	Heb_12:28-13:8	333 (mid.)	Jn_11:1-45	39
42	0	Philip_4:4-9	247	Jn_12:1-18	41
43	1	Mt_24:3-35	98-101		
43	2	Mt_24:36-26:2	102-107		
43	3	Mt_26:6-16	108		
43	6	Rom_6:3-11	91	Mt_28:1-20	115
